date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:17	16203/16203	---MCZ	200	added ('OK')	text/javascript	etag:W/%228004d6-3f4b-543730749c0f2%22	https://www.templatemonster.com/js/tm/broadcast-translates.js	D:/temp/www.templatemonster.com/js/tm/broadcast-translates.js	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:18	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:18%20GMT	https://www.templatemonster.com/demo/lc-board-type-consultant	D:/temp/www.templatemonster.com/demo/lc-board-type-consultant	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:19	98965/98965	---MCZ	200	added ('OK')	text/javascript	etag:W/%22800d70-18295-53be956c5c4e7%22	https://www.templatemonster.com/js/imported/sockjs.min.js?d=fa73d8d	D:/temp/www.templatemonster.com/js/imported/sockjs.minae5e.js	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:20	54537/54537	---MCZ	200	added ('OK')	text/javascript	etag:W/%222229c54-d509-53be959c41912%22	https://www.templatemonster.com/js/imported/centrifuge.min.js?d=fa73d8d	D:/temp/www.templatemonster.com/js/imported/centrifuge.minae5e.js	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:22	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:22%20GMT	https://www.templatemonster.com/demo/firefox/	D:/temp/www.templatemonster.com/demo/firefox/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:22	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:23%20GMT	https://www.templatemonster.com/demo/a	D:/temp/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:23	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:24%20GMT	https://www.templatemonster.com/demo/a	D:/temp/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:24	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:25%20GMT	https://www.templatemonster.com/demo/a	D:/temp/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:25	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:26%20GMT	https://www.templatemonster.com/demo/a	D:/temp/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
18:12:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2012:42:27%20GMT	https://www.templatemonster.com/demo/this.isAbsolute(	D:/temp/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=fa73d8d)
